element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""36249.4""","=""""","=""8.50e+02""",D+,"=""13.6686606""","=""13.7028638""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""38678.0""","=""""","=""1.80e+02""",C,"=""13.6737591""","=""13.7058146""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""42599.4""","=""""","=""2.84e+03""",C,"=""13.6737591""","=""13.7028638""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""54828.2""","=""""","=""1.27e+03""",C,"=""13.6832014""","=""13.7058146""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""",,"=""u18,LS""","=""""",
N,2,"=""""","=""76452.6""","=""""","=""1.12e-12""",D,"=""0.00000""","=""0.01622""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p2""","=""3P""","=""2""",E2,"=""T7333""","=""""",
N,1,"=""""","=""120250""","=""""","=""5.17e-06""",A,"=""10.6796703""","=""10.6899808""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",M1,"=""T7370""","=""""",
N,2,"=""""","=""121800""","=""""","=""7.46e-06""",A,"=""0.00604""","=""0.01622""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p2""","=""3P""","=""2""",M1,"=""T7333""","=""""",
N,2,"=""""","=""205300""","=""""","=""2.08e-06""",A,"=""0.00000""","=""0.00604""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p2""","=""3P""","=""1""",M1,"=""T7333""","=""""",
N,1,"=""""","=""1147710""","=""""","=""1.07e-08""",A,"=""2.3835298""","=""2.3846100""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2D*""","=""3/2""",M1,"=""T7370""","=""""",
N,1,"=""""","=""20620000""","=""""","=""1.85e-12""",B+,"=""12.3566901""","=""12.3567502""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",M1,"=""T7370""","=""""",
